nazwa;miasto;stadion;rok_zalozenia
Legia Warszawa; Warszawa; Stadion Wojska Polskiego; 1916
Lech Poznań; Poznań; Stadion Miejski; 1922
Wisła Kraków; Kraków; Stadion Wisły; 1906
Śląsk Wrocław; Wrocław; Stadion Wrocław; 1947
Górnik Zabrze; Zabrze; Stadion im. Ernesta Pohla; 1948
Pogoń Szczecin; Szczecin; Stadion Pogoni; 1948
Cracovia; Kraków; Stadion Cracovii; 1906
Jagiellonia Białystok; Białystok; Stadion Miejski; 1920
Zagłębie Lubin; Lubin; Stadion Zagłębia; 1945
Raków Częstochowa; Częstochowa; Stadion Rakowa; 1921
Czarni Jaslo ; Jaslo ; Stadion w Jasle; 1910
