nazwa;miasto;stadion;rok_zalozenia
Legia Warszawa;Warszawa;Stadion Wojska Polskiego;1916
Lech Poznań;Poznań;Stadion Miejski;1922
Wisła Kraków;Kraków;Stadion Wisły;1906
Śląsk Wrocław;Wrocław;Stadion Wrocław;1947
Górnik Zabrze;Zabrze;Stadion im. Ernesta Pohla;1948
Pogoń Szczecin;Szczecin;Stadion Pogoni;1948
Cracovia;Kraków;Stadion Cracovii;1906
Jagiellonia Białystok;Białystok;Stadion Miejski;1920
Zagłębie Lubin;Lubin;Stadion Zagłębia;1945
Raków Częstochowa;Częstochowa;Stadion Rakowa;1921
Czarni Jaslo;Jaslo;Stadion w Jasle;1910
Odra Opole;Opole;Stadion Odry;1945
Motor Lublin;Lublin;Arena Lublin;1950
Stal Mielec;Mielec;Stadion Stali;1939
GKS Katowice;Katowice;Stadion GKS;1964
Polonia Warszawa;Warszawa;Stadion Polonii;1911
Widzew Łódź;Łódź;Stadion Widzewa;1910
ŁKS Łódź;Łódź;Stadion ŁKS;1908
Sandecja Nowy Sącz;Nowy Sącz;Stadion Sandecji;1910
GKS Tychy;Tychy;Stadion Miejski;1971
Podbeskidzie Bielsko-Biała;Bielsko-Biała;Stadion Miejski;1907
Chrobry Głogów;Głogów;Stadion Chrobrego;1946
Resovia Rzeszów;Rzeszów;Stadion Resovii;1905
Radomiak Radom;Radom;Stadion Radomiaka;1910
Górnik Łęczna;Łęczna;Stadion Górnika;1979
Znicz Pruszków;Pruszków;Stadion Znicza;1923
Olimpia Grudziądz;Grudziądz;Stadion Olimpii;1923
Bytovia Bytów;Bytów;Stadion Bytovii;1946
Puszcza Niepołomice;Niepołomice;Stadion Puszczy;1923
Sokół Ostróda;Ostróda;Stadion Sokoła;1945
