

[2022-08-08 10:24:56] CSystemPerfManager::UpdateCurrentGame: setting current gameid: 769
[2022-08-08 10:24:56] CSystemPerfManager::MaybeUpdateActiveGame: loading profile for gameid: 769
[2022-08-08 10:24:56] Initialized system perf manager
[2022-08-08 10:25:05] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:25:06] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:25:08] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:25:39] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:26:07] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:26:59] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:27:21] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:27:21] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:27:24] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:27:25] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:27:50] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:27:51] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:27:51] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:28:11] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:28:48] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:28:56] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:29:04] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:29:05] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:29:05] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:29:11] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:30:48] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:31:01] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:33:05] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:34:23] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:39:22] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
[2022-08-08 10:39:43] CSystemPerfManager::OnFocusedWindowChanged: ignoring game: 413080
